,time,likes,title,maintext,user_id,user_age,user_inlevel,sentiment,anticipation
440479,2018/8/31 11:36,0,求大家推荐低价优质错杀股，准备找机会进去长线卧倒了!!!,求大家推荐低价优质错杀股，准备找机会进去长线卧倒了!!!,4.80E+15,7个月,1,中性,看涨
658858,2018/6/15 10:47,0,大A股就是传统滚桶洗衣机向智能全自动过度，去污，去油不伤手，洗洗更健康,大A股就是传统滚桶洗衣机向智能全自动过度，去污，去油不伤手，洗洗更健康,8.55E+15,5.3年,5,中性,看跌
323967,2018/10/17 13:43,0,骗人的行情真TM不要脸了[不赞][不赞][不赞],骗人的行情真TM不要脸了,2.58E+15,5.3年,5,负面,中性
587579,2018/7/5 9:49,2,千金难买牛回头啊,千金难买牛回头啊,5.54E+15,2.1年,6,负面,看跌
182130,2018/12/19 10:50,0,今天微跌50点，哈哈哈,今天微跌50点，哈哈哈,7.28E+15,2年,5,正面,中性
213514,2018/12/5 9:30,0,这种市场，能挣钱的都是人才。,这种市场，能挣钱的都是人才。,3.19E+15,3.5年,7,负面,看跌
108023,2019/1/16 15:42,0,今天强势调整完成，明天继续涨，晓晨明天认错[鼓掌],今天强势调整完成，明天继续涨，晓晨明天认错,6.84E+15,4.2年,7,正面,看涨
276463,2018/11/1 10:30,0,"一个小时交易800,下午得跌成什么样子啊","一个小时交易800,下午得跌成什么样子啊",8.90E+15,7个月,3,负面,中性
182516,2018/12/19 10:32,9,平仓了[哭][哭][哭][哭][哭][哭][哭][哭][哭][哭][哭][哭][,平仓了,6.98E+15,4.2年,7,负面,看跌
416154,2018/9/10 13:38,1,等大盘跌到0点时再考虑买几手,等大盘跌到0点时再考虑买几手,5.72E+15,2.8年,4,中性,看跌
105705,2019/1/17 14:52,4,小散不亏钱，GJD怎么赚钱？,小散不亏钱，GJD怎么赚钱？,3.87E+15,4.7年,7,负面,中性
642594,2018/6/19 14:53,5,感觉真是幸福！,感觉真是幸福！,3.27E+15,2.8年,3,正面,中性
491842,2018/8/15 6:43,0,看看2012年就知道什么是底了,看看2012年就知道什么是底了,3.62E+15,5.4年,1,负面,中性
87476,2019/1/29 13:16,0,个股跌得动都不动一下！大盘一起在上,个股跌得动都不动一下！大盘一起在上,8.41E+15,1.6年,4,负面,中性
737869,2018/4/20 11:06,0,天天关灯吃面，心里苦啊,天天关灯吃面，心里苦啊,7.89E+15,1.1年,3,负面,中性
228130,2018/11/28 10:23,4,我的股票每天都跌这是什么原因,我的股票每天都跌这是什么原因,6.74E+15,1.4年,5,负面,中性
206452,2018/12/7 10:12,0,大盘不补缺没人敢买！必须下跌！,大盘不补缺没人敢买！必须下跌！,2.39E+15,3.7年,6,中性,看跌
598541,2018/7/2 18:29,1,对于信任，可引用冯导的一句台词：还有谁？[大笑],对于信任，可引用冯导的一句台词：还有谁？,1.01E+15,3.9年,5,正面,中性
621780,2018/6/26 14:25,3,亚太地区除了越南股市下跌最大 剩下就是我们大A了,亚太地区除了越南股市下跌最大剩下就是我们大A了,4.41E+15,2年,5,负面,看跌
724234,2018/5/2 9:49,0,磨底过程要控制自己情绪,磨底过程要控制自己情绪,1.01E+15,3.2年,5,中性,中性
223486,2018/11/29 15:00,0,只有跌 才有机会 等吧,只有跌才有机会等吧,4.51E+15,2.1年,1,中性,看跌
631897,2018/6/22 9:32,1,7月成功到2600！,7月成功到2600！,5.14E+15,5.6年,5,正面,看涨
279851,2018/10/30 10:46,3,垃圾股市涨肯定是50拉起来，明目张胆的骗人,垃圾股市涨肯定是50拉起来，明目张胆的骗人,2.63E+15,1.9年,5,负面,中性
3565,2019/3/13 9:40,0,真的不敢买股票，一跌就跌停,真的不敢买股票，一跌就跌停,6.88E+15,4.7年,6,负面,中性
162647,2018/12/25 10:28,0,今年年线很好,今年年线很好,6.09E+15,8.7年,5,正面,中性
392970,2018/9/17 9:10,2,富时中国A50指数期货低开1%。A股会跌多少那？,富时中国A50指数期货低开1%。A股会跌多少那？,4.15E+15,4.4年,5,中性,看跌
707698,2018/5/17 14:10,0,可以买了 赚钱机会来了,可以买了赚钱机会来了,8.37E+15,1.1年,0,正面,看涨
699864,2018/5/25 9:07,0,还没开盘就跌了0.18？,还没开盘就跌了0.18？,2.65E+15,2.9年,4,负面,中性
207791,2018/12/6 14:36,1,静待入底量,量空排，入底量只能算是个反弹，但有总比没有强,3.74E+15,5个月,5,正面,看涨
720513,2018/5/3 11:47,0,沉淀~~,反复,9.03E+15,2.8年,3,中性,中性
437116,2018/9/3 9:59,4,跌，还是跌，看破1400,跌，还是跌，看破1400,4.51E+15,4.4年,5,负面,看跌
339946,2018/10/12 11:03,0,抄底吧兄弟们,抄底吧兄弟们,8.05E+15,1.1年,5,正面,看涨
600106,2018/7/2 14:44,0,谁还敢炒股的？,谁还敢炒股的？,7.73E+15,3.3年,4,负面,中性
611035,2018/6/28 14:37,2,谁是股市末日的推手？末日股市，哀股,,7.87E+15,5.3年,6,负面,中性
362507,2018/10/8 14:03,1,还有2000点的下跌空间,还有2000点的下跌空间,1.65E+15,2.8年,5,中性,看跌
467352,2018/8/20 13:48,0,把亏的三分之一给我，我也不玩了,把亏的三分之一给我，我也不玩了,9.74E+15,5.7年,5,负面,中性
196884,2018/12/12 14:19,0,何必呢,何必呢,1.02E+15,5.5年,7,负面,中性
53101,2019/2/25 11:15,0,白酒板块上涨助力,白酒板块上涨助力,6.81E+15,11个月,3,正面,看涨
298038,2018/10/23 14:44,1,大家不要相信李大霄说的话，前两个交易日就是空头趋势下的反弹而已，接下来要么测试2,大家不要相信李大霄说的话，前两个交易日就是空头趋势下的反弹而已，接下来要么测试2450点，要么接着创新低,6.88E+15,3.8年,6,中性,中性
207950,2018/12/6 14:28,1,大老随便打都挣钱，玩的是没有信息的散户,大老随便打都挣钱，玩的是没有信息的散户,2.84E+15,2.1年,5,负面,中性
383238,2018/9/19 10:15,1,笑死人了。都不敢跟。之前老玩狼来了！,笑死人了。都不敢跟。之前老玩狼来了！,1.67E+15,1.3年,3,负面,中性
528164,2018/8/2 1:59,7,明天估计够呛,明天估计够呛,4.09E+15,2.8年,6,负面,看跌
28021,2019/3/6 10:26,0,会以什么样的姿势演绎——跳水运行，想一下？！,会以什么样的姿势演绎——跳水运行，想一下？！,2.67E+15,3.1年,2,中性,看跌
47403,2019/2/26 14:37,2,神奇两点半跳水的专利只要不改正A股永远没希望,神奇两点半跳水的专利只要不改正A股永远没希望,5.17E+15,4年,7,负面,中性
307994,2018/10/19 13:43,0,不是说还在寻底的吗？结果上午都割了！,不是说还在寻底的吗？结果上午都割了！,6.42E+15,4.2年,4,负面,中性
94891,2019/1/24 19:01,1,基本上世人的认知都是没有达到天道水平…… [微笑][微笑][微笑],基本上世人的认知都是没有达到天道水平……,3.49E+15,9.9年,10,中性,中性
568490,2018/7/11 9:55,3,机会，绝对的机会,机会，绝对的机会,3.06E+15,4年,5,正面,看涨
223662,2018/11/29 14:47,4,慢 刀割肉，每天跌个地二十点，个股跌成屎,慢刀割肉，每天跌个地二十点，个股跌成屎,3.27E+15,7.4年,5,负面,中性
753518,2018/4/12 18:45,7,大盘弱反震荡会延续，创业板面临方向选择！,昨天文章已经提醒次新板块近期有调整，要小心！调整今天就出现，大面积次新妖股倒下，这是技术层面的结果，与外界消息并无必然关系。这个调整很正常，有准备的防一下就行，次新调整后还会卷土重来，不会就此单边下跌的。机会还是在调整后的次新板块和创业板为主。创业板指数面临大考。看看下图二，指数围绕1837点上下震荡几天后，今天收盘刚好跌破牛熊线，明天如果不能收回1837点上方，就意味着下周向下调整的概率很大。昨天文章也说了：（耐心等待创业板调整结束才是上策，创业板现在有顶背离结构不要追高，观察回踩1800点上下止跌就是机会）。只有二种情况可表明创业板调整会结束，1）尽快站稳1850点上方，2）回踩1800点上下（或者1780点上下）止跌回升。大盘上证指数底部结构仍然存在，不过只是属于弱势反弹性质，距离真正走好还有很长的路。这指数一直被蓝筹类白马股绑架，现在蓝筹类白马股每次上涨主力资金都在撤离，这就是大盘指数很难走好的原因。上涨是假意，小心上当！明天（04月13日）大盘技术点位：1）支撑：3169点。2）压力：3204点。,2.37E+15,4.3年,6,中性,看跌
167543,2018/12/23 11:35,0,ST还要加带星ST 我不相信能退市多少,美国37年间，退市接近16000家，平均每年接近400家，我们的市场有ST和带星ST保护，永远别想做到！现在很多公司净资产进入毛票，未分利润是负的几元钱，这些公司实际早就资不抵债，还留在市场做什么？,1.50E+15,6.1年,7,负面,看跌
546593,2018/7/20 13:58,3,指数失真啊，按照市值占比，光是银行板块就贡献了1.5点了,指数失真啊，按照市值占比，光是银行板块就贡献了1.5点了,2.58E+15,3.7年,6,中性,中性
123790,2019/1/5 23:12,3,大家都认为破2449到2325了，结果它涨了，大家都认为要底部探明了，冲冲冲，结,大家都认为破2449到2325了，结果它涨了，大家都认为要底部探明了，冲冲冲，结果它真的跌破2449，直冲2251点，本轮反弹将持七个交易日，反弹高点2630，然后从2630一路暴跌至2251点，，又是一场浩劫！！本人历次关键节点预测准准准！！有贴为证！！,6.93E+15,3.8年,7,负面,看跌
569392,2018/7/11 9:27,1,今天什么黑天鹅，低开这么多,今天什么黑天鹅，低开这么多,1.81E+15,6.4年,4,负面,中性
532733,2018/7/31 14:55,0,明天又得低开,明天又得低开,7.14E+15,1.7年,5,负面,看跌
114094,2019/1/11 13:16,4,只有茅台跌停才能救中国,按理说，人民币升值四大行应该大涨。四大行不涨？说明股市出问题了\u3000\u3000人民升值大量资金撤离（题材股拉高出货），周一暴跌见红先跑\u3000\u3000详见日元升值第二个交易日日股走势\u3000,9.41E+15,6.2年,10,负面,看跌
356066,2018/10/11 8:22,0,美股大跌，A股烂命一条……,美股大跌，A股烂命一条……,3.25E+15,4.3年,6,负面,看跌
641650,2018/6/19 19:59,0,明天是死是活,明天是死是活,6.16E+15,3.8年,4,中性,中性
461105,2018/8/22 14:38,8,无力回天，已死！,无力回天，已死！,1.19E+15,5.4年,3,负面,看跌
412425,2018/9/11 9:57,8,股市还有救吗？,股市还有救吗？,2.81E+15,4.8年,5,负面,看跌
516853,2018/8/3 20:51,3,下周一大盘涨！！！,下周一大盘涨！！！,9.23E+15,1.6年,5,正面,看涨
115227,2019/1/11 9:23,2,希望向下、这样散户就不敢买、不买就套不住,希望向下、这样散户就不敢买、不买就套不住,9.34E+15,1.3年,4,中性,中性
640279,2018/6/20 9:50,2,今天有点手痒，准备买进1000手,今天有点手痒，准备买进1000手,3.38E+15,4.2年,3,正面,看涨
57637,2019/2/22 13:40,0,这么玩真没意思，光拉券商，能不能雨露均沾哪,这么玩真没意思，光拉券商，能不能雨露均沾哪,8.44E+15,3.7年,5,负面,中性
411135,2018/9/11 10:42,1,完了,完了,5.99E+15,7.6年,6,负面,中性
660541,2018/6/14 20:10,1,明天我看3000点不保了，拭目以待。,利空不少。,4.47E+15,8.8年,9,负面,看跌
286070,2018/10/26 15:51,1,周末养精蓄锐，下周有大把机会！,算是惊心动魄一周已过，近期筑底回升可期上周末监管高层喊话让市场找到“政策底”，A股原本下跌的整体走势趋于平滑化，股票质押的巨大压力得到很大的缓解。总体上看，A股目前仍处在反复构建底部的进程当中，沪指也回到10日均线上继续调整，未来走势有待大盘的方向性选择。外部环境的诸多不确定性因素，使得场外资金趋于观望，更多的是场内资金的调仓和筹码的转换。外资的持续看好并抄底，加上国内政策推动长线资金流入股市，未来A股资金面状况良好，目前的估值底部区域是绝佳的长线入场机会。短期上，券商、银行、保险这“金融三兄弟”近期来接连扛起护盘大旗，上涨较多，进入中场休息；26日地产、煤炭、钢铁、有色这几大板块轮番试盘，将会为后期寻找出更多更强的热点板块来接力可能要暂时修整阶段券商、银行、保险板块，未来A股要走强，适时拉动大基建、央企、蓝筹等凝聚力好的板块是关键，下周朋友们可以重点关注这些板块，在这些板块里寻找好股积极介入；周末了，股友们好好放松休息，周日晚间本人会根据周末期间的消息面变化，再做个总结，股友们可以多关注，祝朋友们周末愉快！,2.95E+15,6个月,5,正面,看涨
553917,2018/7/18 14:19,0,每天都在勇创新低,RT,5.05E+15,7.3年,6,负面,中性
285881,2018/10/26 22:36,5,这信心，那信心，股市圈钱本质不改变都不会有信心。真正想让股市转暖，必须转变股民身,这信心，那信心，股市圈钱本质不改变都不会有信心。真正想让股市转暖，必须转变股民身份，什么时候把股民“韭菜”的身份真正转变为投资者、股东、市场的主人，那这个股市才会有希望。,6.08E+15,5.7年,2,中性,中性
213855,2018/12/4 20:40,8,底还远着呢，话不多说，直接看图吧,2016年4月时分析大盘要去2421点，实际到大字2449点。目前根据浪形分析。底还远着呢，话不多说，直接看图吧。纯属个人观点，不构成买卖依据。不喜欢的请绕道！！！,4.72E+15,4.6年,7,中性,看跌
430205,2018/9/5 14:32,0,怎么不散了呢？,怎么不散了呢？,2.22E+15,8个月,4,负面,中性
489551,2018/8/15 12:08,0,汇率要破6.93呢！开盘是跑还是跑呢[鼓掌][鼓掌][鼓掌][鼓掌],汇率要破6.93呢！开盘是跑还是跑呢,2.99E+15,1.8年,3,正面,看涨
579298,2018/7/6 11:00,0,11111,下跌新征程又开始了md,3.24E+15,5.3年,2,负面,看跌
80448,2019/1/31 14:15,0,看见大盘跳水我真是发自内心的开心！胸口的一口气感觉舒畅多了！,看见大盘跳水我真是发自内心的开心！胸口的一口气感觉舒畅多了！,7.52E+15,3年,4,正面,看跌
366420,2018/10/5 12:50,1,一旦相关风险恶化，将继续“寻底”,一旦相关风险恶化，将继续“寻底”,4.29E+15,6.2年,7,中性,中性
340629,2018/10/12 10:49,0,到底,中国股市的地在1414点,3.39E+15,1.3年,0,负面,看跌
703943,2018/5/22 14:26,0,国家队继续拉指数啊呵呵,国家队继续拉指数啊呵呵,3.74E+15,2.5年,5,正面,看涨
414016,2018/9/10 14:59,1,又是一周的下跌，不出预料之中吗？,又是一周的下跌，不出预料之中吗？,9.81E+15,4.3年,3,负面,看跌
276373,2018/11/1 13:51,0,要发绿了吗？[亏大了][亏大了][亏大了],要发绿了吗？,9.05E+15,1.6年,4,负面,看跌
303675,2018/10/22 13:19,0,跳水开始,跳水开始,4.79E+15,3.9年,4,负面,看跌
599992,2018/7/2 14:50,0,手里没票，就是开心，走起！,手里没票，就是开心，走起！,9.35E+15,1.3年,1,正面,中性
687441,2018/5/31 9:51,1,0000000000//3041将是标志性大底。,0000000000//3041将是标志性大底。,1.27E+15,2.3年,6,中性,中性
533864,2018/7/31 11:13,0,国企改革这么好的主线不拉，主力像个无头苍蝇一样一会拉这样一会拉那个，没有一个持续,国企改革这么好的主线不拉，主力像个无头苍蝇一样一会拉这样一会拉那个，没有一个持续赚钱的板块怎么可能会有行情！,4.51E+15,1年,2,负面,中性
717788,2018/5/7 13:08,1,要不今天直接去3200吧,要不今天直接去3200吧,1.99E+15,1年,5,正面,看涨
145003,2018/12/27 21:08,0,惊吓过度,惊吓过度的A股投资者太无辜！,9.26E+15,4.5年,2,负面,中性
440002,2018/8/31 14:11,0,600亿呢，不是最后一天吗，咋还不拉，算了，我走了,600亿呢，不是最后一天吗，咋还不拉，算了，我走了,7.24E+15,3.1年,5,负面,看跌
201766,2018/12/10 13:39,0,亿万股民怎么办,亿万股民怎么办,4.82E+15,5.7年,7,负面,中性
68770,2019/2/15 10:15,2,节后行情结束了，启动正常模式。,节后行情结束了，启动正常模式。,9.44E+15,4.6年,5,中性,中性
573341,2018/7/9 14:25,2,不放量的大上涨都是要流氓，后面还有大跌。,不放量的大上涨都是要流氓，后面还有大跌。,2.90E+15,5.8年,4,负面,看跌
193149,2018/12/14 10:37,3,房市制造鬼城！股市制造仙股，一鬼一仙,房市制造鬼城！股市制造仙股，一鬼一仙,4.42E+15,4.6年,5,负面,中性
314535,2018/10/18 14:48,3,祝贺A顺利跌破2500点位，即将进入2300,祝贺A顺利跌破2500点位，即将进入2300,4.40E+15,4.1年,2,中性,看跌
717966,2018/5/7 10:58,0,假拉大盘，好好假拉吧,假拉大盘，好好假拉吧,7.50E+15,2年,5,负面,中性
666228,2018/6/12 16:25,2,涨一天，跌八天,涨一天，跌八天,1.13E+15,2年,6,负面,中性
571894,2018/7/10 9:43,1,经历昨天的超跌反弹后，预计今日继续下跌。什么是底？告诉你，跌起来根本就没有底。所,经历昨天的超跌反弹后，预计今日继续下跌。什么是底？告诉你，跌起来根本就没有底。所谓的底，不过是骗你进场的花言巧语罢了。,7.72E+15,6.6年,4,负面,看跌
440740,2018/8/31 13:57,1,创业板不涨，股市就是跌！哈哈哈,创业板不涨，股市就是跌！哈哈哈,8.01E+15,5.9年,7,中性,中性
258123,2018/11/12 12:51,4,2449即使不是市场底，也是许多个股最佳抄底点位，许多股涨幅30%以上，很多股接,2449即使不是市场底，也是许多个股最佳抄底点位，许多股涨幅30%以上，很多股接近翻翻，有的个别股半个月涨幅2倍以上！,5.52E+15,1.9年,5,正面,看涨
639997,2018/6/20 10:07,0,老子一把梭啦。全仓买进。,,4.98E+15,1.7年,4,正面,看涨
411504,2018/9/11 10:29,1,快点跌破2638，别装挣扎了！死快一点,快点跌破2638，别装挣扎了！死快一点,2.34E+15,11个月,5,负面,看跌
742749,2018/4/18 9:38,2,想到了你会高开，也想到了你会低走，没想到的是你走得这么快,想到了你会高开，也想到了你会低走，没想到的是你走得这么快,5.85E+15,4.1年,5,负面,中性
733365,2018/4/23 13:39,1,大A能争一口气吗,大A能争一口气吗,6.08E+15,1.6年,3,中性,中性
551219,2018/7/19 11:57,1,跌了10年了，创出新低，也该涨涨拉！[加油],跌了10年了，创出新低，也该涨涨拉！,9.32E+15,2.2年,7,正面,看涨
462493,2018/8/22 11:12,1,A股上证假摔，最后入市良机[赞],A股上证假摔，最后入市良机,4.89E+15,4年,5,正面,看涨
609855,2018/6/28 15:24,0,请问上面还能给股民一个底啊，还行不行啊？,请问上面还能给股民一个底啊，还行不行啊？,5.25E+15,1.5年,4,负面,中性
275973,2018/11/1 13:06,1,尾盘跌回来,,5.06E+15,2.4年,0,中性,中性
275432,2018/11/1 14:17,0,闲人指路，明天大涨。,闲人指路，明天大涨。,8.37E+15,3年,4,正面,看涨
44703,2019/2/27 13:45,1,真服了,真服了,1.42E+15,4个月,2,负面,中性
146572,2018/12/27 15:02,2,大家有什么想说的，呵呵，我是特妈的欲哭无泪,大家有什么想说的，呵呵，我是特妈的欲哭无泪,4.05E+15,2.2年,5,负面,中性
429843,2018/9/5 14:46,2,1000点下跌,1000点下跌,3.22E+15,7.3年,6,负面,看跌
290273,2018/10/25 14:13,0,没有散户追收红 反之跳水,没有散户追收红反之跳水,8.94E+15,5.8年,4,负面,看跌
660283,2018/6/15 7:51,0,2018年6月15日上证指数预测：,大盘预测：探底回升收盘指数预测：3078活跃板块：关注msci概念股，证券股，银行股，中字头大盘股个人预测，仅供参,3.09E+15,5.6年,5,中性,看涨
526685,2018/8/2 10:16,1,虽说股市有风险，但不至于这么吧？,虽说股市有风险，但不至于这么吧？,2.46E+15,7年,4,负面,中性
64644,2019/2/19 10:18,0,小屁屁股票马上要裤衩裤衩往下掉,小屁屁股票马上要裤衩裤衩往下掉,1.84E+15,3.5年,4,负面,看跌
535826,2018/7/30 11:12,4,这垃圾股市，银行石油拉一周指数，个股没涨，你妈每天跌0.几，个股都是跌几个点，还,这垃圾股市，银行石油拉一周指数，个股没涨，你妈每天跌0.几，个股都是跌几个点，还能玩吗，把钱都整去送人了吗，,9.72E+15,3.8年,5,负面,中性
241826,2018/11/22 13:37,2,有见过中国股市上涨的吗？,有见过中国股市上涨的吗？,2.49E+15,3.9年,7,负面,中性
371857,2018/9/26 13:16,7,大盘创新高我的个股留在原地,真是讽刺，真是笑话，哈哈哈哈哈,1.28E+15,3.8年,4,负面,中性
507526,2018/8/7 11:27,0,人气不足，大部分都被套了，动不了，,人气不足，大部分都被套了，动不了，,9.23E+15,3.7年,3,负面,中性
398160,2018/9/13 11:24,0,有钱也不敢买了，怕套！,有钱也不敢买了，怕套！,5.11E+15,3.7年,6,负面,看跌
288261,2018/10/26 10:22,2,美股涨，癌股跌，我们终于脱离的跟随！,你们满意了,7.94E+15,5.9年,5,负面,中性
14572,2019/3/8 14:40,0,黑色星期四挪到了黑色星期五,黑色星期四挪到了黑色星期五,6.57E+15,5.1年,4,负面,中性
427896,2018/9/6 9:46,0,跳水比赛开始了,跳水比赛开始了,9.32E+15,2年,4,负面,看跌
371052,2018/9/27 11:30,0,又浪费了一天的行情,又浪费了一天的行情,9.98E+15,2.5年,4,负面,中性
131596,2019/1/3 11:05,0,2449早破早立，不破没人进,2449早破早立，不破没人进,6.69E+15,3.4年,4,中性,中性
508053,2018/8/7 10:15,2,已为真的大涨了原来虚惊一场,已为真的大涨了原来虚惊一场,6.65E+15,3.7年,4,中性,中性
461124,2018/8/22 14:37,3,中国的股市就是一日游。,中国的股市就是一日游。,8.33E+15,3.4年,2,负面,中性
686851,2018/5/31 14:01,1,看这样 尾盘又要跳水了。个股已经开始跳水了。妈的 早盘进的 真是该,看这样尾盘又要跳水了。个股已经开始跳水了。妈的早盘进的真是该,1.44E+15,1.3年,5,负面,看跌
734135,2018/4/23 9:59,1,大盘重返3100，提前发来贺信,下午三点不见不散,1.10E+15,1.1年,0,正面,中性
296103,2018/10/24 13:49,6,强拉指数后势必一地鸡毛,强拉指数后势必一地鸡毛,8.20E+15,2.2年,3,负面,看跌
246435,2018/11/20 13:59,1,大盘调整开始了，出来透透气吧…,大盘调整开始了，出来透透气吧…,5.45E+15,7.5年,7,负面,看跌
476992,2018/8/17 13:33,14,看到现在的混蛋还真怀念过去的旧人,一群该死的东西,3.58E+15,7.2年,6,负面,中性
254949,2018/11/13 14:48,0,1800亿的成交量，不算优秀呀,1800亿的成交量，不算优秀呀,9.19E+15,4年,6,中性,中性
147362,2018/12/27 14:33,6,还在砸，砸不动2508收市就不错了,谁他玛德对散户这么狠，憋着屎你砸盘,4.41E+15,5.3年,6,负面,中性
431866,2018/9/5 11:23,2,发新股了，机构都忙起出货接新股，股市不跌才怪,发新股了，机构都忙起出货接新股，股市不跌才怪,6.52E+15,1.8年,5,负面,看跌
412008,2018/9/11 10:23,0,机构们都在疯狂做空，只有被忽悠的小散在卫国护盘,机构们都在疯狂做空，只有被忽悠的小散在卫国护盘,2.30E+15,1.8年,4,负面,中性
86509,2019/1/29 14:41,0,肉没来急割，又是红盘了[亏大了][亏大了][亏大了][亏大了][亏大了],肉没来急割，又是红盘了,8.01E+15,5.9年,7,负面,中性
127674,2019/1/4 9:39,0,2449不是底嘛怎么破了,2449不是底嘛怎么破了,5.51E+15,3.8年,6,负面,中性
105386,2019/1/17 16:31,1,感觉只要不跌就是慢牛！这些垃圾专家,感觉只要不跌就是慢牛！这些垃圾专家,9.83E+15,1.5年,4,负面,中性
599352,2018/7/2 15:03,2,草泥马的，跌的不敢看账户了都,草泥马的，跌的不敢看账户了都,9.41E+15,1.9年,5,负面,中性
13696,2019/3/8 14:58,3,这就是中国股市,这就是中国股市,9.97E+15,4.8年,6,中性,中性
540468,2018/7/26 10:00,0,2900也要回啦？,2900也要回啦？,2.08E+15,1年,3,负面,看涨
675916,2018/6/8 11:03,4,差个权威发言，保护国股，为中国股市发展护航，那就好了,差个权威发言，保护国股，为中国股市发展护航，那就好了,1.08E+15,4.1年,3,中性,中性
318033,2018/10/18 13:12,0,你喜欢主动性贬值卖国 那就天天跌给你看,你喜欢主动性贬值卖国那就天天跌给你看,1.38E+15,4.5年,7,负面,中性
715743,2018/5/9 14:29,3,两点半，没治了,两点半，没治了,8.62E+15,3.9年,6,负面,看跌
260787,2018/11/9 12:22,1,永远是这样了！因为又有新板了,永远是这样了！因为又有新板了,4.24E+15,1.3年,4,负面,中性
